practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.08333334,0,0,0,0,0.08888889
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0.1481481,0.03846154,0,0,0.05882353
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.04761905,NaN,0,0.02857143,0.04081633,0.02209945
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.04761905,0.07407407,0.1428571,0,0,0.08064516
try0,0.04761905,0.07407407,0.1428571,0,0,0.08064516
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.0625,0.07692308,0.1333333,0.05,0.2222222,0.09589042
try0,0,0.07692308,0.1333333,0.05,0.2222222,0.08433735
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1111111,0.07692308,0.2,0.25,0.5,0.1515152
try0,0,0.25,0.2,0.25,0.5,0.1290323
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.2142857,0,0,0,0,0.2142857
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
