Type,Time,AllTime,Score,Block
Start,0.778565,0.7723976,0,21
Hit,1.936072,1.936072,10,20
Hit,3.134733,3.134733,20,19
Hit,4.423523,4.423523,30,18
Hit,5.609443,5.609443,50,16
Miss,6.660707,6.654523,60,15
Start,1.572807,8.319353,60,15
Hit,2.912821,9.659369,70,14
Hit,4.214634,10.96118,80,13
Hit,5.405716,12.15226,90,12
Hit,6.793816,13.54036,110,10
Hit,8.270805,15.01735,110,10
Hit,9.802896,16.54944,120,9
Miss,9.814898,16.56144,120,9
Start,0.9718643,17.61531,120,9
Hit,2.413587,19.05702,130,8
Hit,3.800773,20.44423,140,7
Hit,5.185341,21.8288,150,6
Miss,6.634187,23.27764,160,5
Start,0.5848015,23.96865,160,5
Hit,2.028116,25.41198,160,5
Miss,3.579972,26.96386,170,4
