Type,Time,Score,Block
Start,2.131408,2.127102,0,21
Hit,3.286276,3.286276,10,20
Hit,4.473223,4.473223,20,19
Hit,5.76123,5.76123,30,18
Hit,7.041296,7.041296,40,17
Hit,8.417353,8.417353,60,15
Hit,9.797398,9.797398,80,13
Hit,11.26546,11.26546,80,13
Hit,12.5485,12.5485,90,12
Hit,13.83356,13.83356,100,11
Hit,15.55656,15.55656,110,10
Hit,18.11063,18.11063,130,8
Hit,20.8908,20.8908,140,7
Hit,23.16486,23.16486,150,6
Hit,25.80197,25.80197,170,4
Hit,28.43706,28.43706,180,3
Hit,30.89311,30.89311,190,2
Hit,32.71724,32.71724,200,1
Hit,32.72222,32.72222,200,1
Hit,32.72721,32.72721,200,1
Clear,38.56637,38.56637,210,0
Start,0.3589659,40.77422,210,21
Hit,1.517663,41.93291,210,21
Hit,2.705694,43.12097,210,21
Hit,3.892764,44.30805,220,20
Hit,5.078811,45.49409,230,19
Hit,6.361839,46.77709,240,18
Hit,7.647894,48.06319,250,17
Hit,8.869964,49.28525,260,16
Hit,10.109,50.52427,270,15
Hit,11.34904,51.7643,280,14
Hit,12.50506,52.9203,290,13
Hit,13.57413,53.98938,300,12
Hit,14.81918,55.23444,320,10
Hit,15.75334,56.1686,330,9
Hit,16.68927,57.10457,340,8
Hit,17.62126,58.03659,350,7
Hit,18.69931,59.11462,350,7
Hit,19.56935,59.98468,360,6
Hit,20.56938,60.98471,370,5
Hit,21.64148,62.05682,370,5
Hit,22.64647,63.06179,380,4
Hit,23.71955,64.13485,390,3
Hit,24.72085,65.13614,400,2
Hit,25.79657,66.2118,400,2
Hit,26.80115,67.2163,410,1
Hit,27.87172,68.28692,410,1
Hit,28.93972,69.35491,410,1
Hit,30.01592,70.43107,410,1
Clear,30.61985,71.04001,420,0
Start,0.5323867,73.12978,420,28
Hit,1.595013,74.19241,430,27
Hit,2.692352,75.28976,440,26
Hit,3.790053,76.38745,450,25
Hit,4.883159,77.48056,460,24
Hit,5.980138,78.57752,470,23
Hit,7.075174,79.67254,480,22
Hit,8.26626,80.86359,490,21
Hit,9.547309,82.14465,500,20
Hit,10.76934,83.3667,530,17
Hit,11.65338,84.25075,540,16
Hit,12.54441,85.14176,550,15
Hit,13.64344,86.24082,550,15
Hit,14.52946,87.12682,570,13
Hit,15.62853,88.22585,570,13
Hit,16.58166,89.17896,580,12
Hit,17.53862,90.13592,590,11
Hit,18.49566,91.09296,600,10
Hit,19.38364,91.98096,610,9
Hit,20.41274,93.01005,620,8
Hit,21.36473,93.96205,630,7
Hit,22.37379,94.97115,640,6
Hit,23.48882,96.08615,640,6
Hit,24.45087,97.04823,660,4
Hit,25.54364,98.14095,660,4
Hit,26.64402,99.24135,660,4
Hit,27.67098,100.2683,670,3
Hit,28.69473,101.292,680,2
Hit,29.70831,102.3056,690,1
Hit,30.79123,103.3885,690,1
Clear,31.4031,104.0125,700,0
Start,0.3680331,105.6443,700,28
Hit,1.434635,106.7109,700,28
Hit,3.090732,108.367,720,26
Hit,5.269791,110.546,730,25
Hit,7.445921,112.7222,740,24
Hit,9.628948,114.9052,750,23
Hit,12.18702,117.4632,760,22
Hit,14.55313,119.8293,780,20
Hit,17.1112,122.3874,790,19
Hit,19.13928,124.4155,790,19
Hit,20.69238,125.9686,790,19
Miss,22.38239,127.6586,800,18
Start,0.4504165,128.1891,800,18
Hit,1.702063,129.4408,820,16
Hit,3.201658,130.9404,860,12
Hit,4.394254,132.133,870,11
Hit,5.643534,133.3823,880,10
Hit,7.40232,135.1411,900,8
Hit,9.038426,136.7773,920,6
Hit,11.08646,138.8254,940,4
Hit,12.84768,140.5866,960,2
Hit,14.7276,142.4666,960,2
Hit,16.60677,144.3458,960,2
Hit,18.36374,146.1028,970,1
Hit,20.24203,147.981,970,1
Hit,22.12375,149.8629,970,1
Clear,23.10796,150.852,980,0
Start,0.60651,152.6876,980,35
Hit,1.573127,153.6543,990,34
Hit,2.569183,154.6503,1000,33
Hit,4.802222,156.8833,1010,32
Hit,6.96833,159.0496,1020,31
Hit,7.83435,159.9158,1030,30
Hit,8.785399,160.8668,1030,30
Hit,9.654394,161.7358,1040,29
Hit,10.60148,162.6829,1040,29
Miss,11.6095,163.6909,1040,29
Start,0.9130197,164.6941,1040,29
Hit,1.978709,165.7599,1050,28
Hit,3.074881,166.856,1070,26
Hit,4.724993,168.5061,1120,21
Hit,5.974131,169.7552,1150,18
Hit,6.884082,170.6652,1160,17
Hit,7.658689,171.4398,1160,17
Hit,8.430367,172.2115,1170,16
Hit,9.34317,173.1243,1180,15
Hit,10.2533,174.0344,1190,14
Hit,11.23026,175.0114,1200,13
Hit,12.48127,176.2624,1210,12
Hit,12.48629,176.2674,1210,12
Hit,12.49629,176.2774,1210,12
Hit,12.50626,176.2874,1210,12
Hit,12.51627,176.2974,1210,12
Hit,12.52628,176.3074,1210,12
Hit,12.53637,176.3175,1210,12
Hit,12.54231,176.3234,1210,12
Hit,12.55229,176.3334,1210,12
Hit,12.55733,176.3385,1210,12
Hit,12.56227,176.3434,1210,12
Hit,12.56732,176.3484,1210,12
Hit,12.57743,176.3586,1210,12
Hit,12.58336,176.3645,1210,12
Hit,12.58837,176.3695,1210,12
Hit,12.5933,176.3744,1210,12
Miss,12.70128,176.4824,1210,12
Start,0.3973547,177.234,1210,12
Hit,1.648035,178.4846,1220,11
Hit,3.123079,179.9597,1220,11
Hit,4.495144,181.3319,1230,10
Hit,5.971198,182.808,1230,10
Hit,7.442507,184.2794,1240,9
Hit,8.913425,185.7503,1240,9
Hit,10.28737,187.1244,1250,8
Hit,11.75853,188.5956,1260,7
Hit,13.23448,190.0715,1260,7
Hit,14.70225,191.5394,1260,7
Hit,16.17664,193.0139,1260,7
Hit,17.64866,194.4858,1260,7
Hit,19.27672,196.114,1280,5
Hit,20.74777,197.585,1280,5
Hit,22.22248,199.0598,1280,5
Hit,23.69583,200.5331,1290,4
Hit,25.16388,202.0013,1290,4
Hit,26.63693,203.4744,1290,4
Hit,28.11214,204.9496,1300,3
Hit,29.58024,206.4178,1300,3
Hit,31.05314,207.8907,1300,3
Hit,32.68219,209.5198,1320,1
Clear,33.33226,210.1815,1330,0
Start,0.9650012,218.5963,1330,21
Hit,2.123237,219.7546,1340,20
Hit,3.311278,220.9426,1350,19
Hit,4.591367,222.2228,1360,18
Hit,5.877401,223.509,1370,17
Hit,7.25544,224.887,1390,15
Hit,8.629483,226.261,1410,13
Hit,10.10052,227.7322,1410,13
Hit,11.38368,229.0154,1420,12
Hit,12.67195,230.3036,1430,11
Hit,14.3889,232.0206,1440,10
Hit,16.94581,234.5777,1460,8
Hit,19.72192,237.3539,1470,7
Hit,21.99504,239.6271,1480,6
Hit,24.62708,242.2591,1500,4
Hit,27.25835,244.8903,1520,2
Hit,29.99233,247.6242,1530,1
Hit,29.99732,247.6292,1530,1
Miss,30.0074,247.6393,1530,1
Start,0.7614264,248.4746,1530,1
Hit,2.203084,249.9163,1530,1
Hit,3.673131,251.3864,1530,1
Hit,5.146157,252.8593,1530,1
Hit,6.6182,254.3313,1530,1
Hit,8.090312,255.8035,1530,1
Clear,8.953315,256.6726,1540,0
Start,33.33741,33.3328,0,21
Hit,34.4918,34.4918,10,20
Hit,35.68282,35.68282,20,19
Hit,36.96405,36.96405,30,18
Hit,38.2439,38.2439,40,17
Hit,39.62721,39.62721,60,15
Hit,40.99656,40.99656,80,13
Hit,42.47504,42.47504,80,13
Hit,43.75731,43.75731,90,12
Miss,45.11118,45.10616,100,11
Type,Time,AllTime,Score,Block
Start,9.003185,8.995762,0,21
Hit,10.15989,10.15989,10,20
Hit,11.34897,11.34897,20,19
Hit,12.61862,12.61862,30,18
Hit,13.91615,13.91615,40,17
Hit,15.29199,15.29199,60,15
Hit,16.66804,16.66804,80,13
Hit,18.14016,18.14016,80,13
Hit,19.42415,19.42415,90,12
Miss,20.77721,20.77218,100,11
Start,1.195214,22.07845,100,11
Hit,2.621107,23.50433,100,11
Hit,4.013171,24.89639,120,9
Hit,5.481214,26.36442,120,9
Hit,6.956279,27.83949,120,9
Hit,9.430346,30.31355,130,8
Hit,13.7135,34.59671,150,6
Hit,16.35868,37.24191,160,5
Hit,17.96263,38.84586,170,4
Miss,17.97262,38.85584,170,4
Start,0.4813324,39.42519,170,4
Hit,1.920256,40.86411,170,4
Hit,3.344147,42.28799,190,2
Hit,4.42816,43.37199,190,2
Hit,5.505269,44.44913,190,2
Hit,6.520263,45.46409,200,1
Hit,7.599381,46.54321,200,1
Hit,8.678998,47.62283,200,1
Clear,9.287321,48.2362,210,0
Start,0.9921499,55.45219,210,21
Hit,2.150779,56.61083,210,21
Hit,3.336893,57.79693,210,21
Hit,4.52601,58.98606,220,20
Hit,5.712981,60.17304,230,19
