Type,Time,AllTime,Score,Block
Start,10.52695,10.52518,0,21
Hit,11.39849,11.39849,0,21
Hit,12.29519,12.29519,0,21
Hit,13.19,13.19,10,20
Hit,14.08591,14.08591,20,19
Hit,15.05086,15.05086,20,19
Hit,16.01513,16.01513,20,19
Hit,16.97918,16.97918,30,18
Hit,17.942,17.942,40,17
Hit,18.97855,18.97855,50,16
Hit,20.01504,20.01504,50,16
Hit,21.0508,21.0508,60,15
Hit,22.08702,22.08702,70,14
Hit,23.19516,23.19516,80,13
Hit,24.30292,24.30292,80,13
Hit,25.41049,25.41049,80,13
Hit,26.51908,26.51908,80,13
Hit,27.62706,27.62706,80,13
Hit,28.52239,28.52239,80,13
Hit,29.56861,29.56861,90,12
Hit,30.48455,30.48455,100,11
Hit,31.61704,31.61704,100,11
Hit,32.60426,32.60426,110,10
Hit,34.70274,34.70274,130,8
Hit,37.00047,37.00047,130,8
Hit,37.09667,37.09667,130,8
Hit,37.88915,37.88915,130,8
Hit,39.29422,39.29422,130,8
Hit,40.42631,40.42631,130,8
Hit,41.52247,41.52247,140,7
Miss,42.31245,42.31206,150,6
Start,1.882353,44.26171,150,6
Hit,2.967304,45.34671,150,6
Hit,4.075524,46.45495,150,6
Hit,5.181916,47.56129,150,6
Hit,6.291157,48.67059,160,5
Hit,7.398531,49.77792,160,5
Hit,8.50723,50.88658,160,5
Hit,9.543694,51.92309,160,5
Hit,10.43966,52.8191,170,4
Hit,12.98538,55.36482,170,4
Hit,16.24601,58.62553,180,3
Hit,17.17078,59.55035,190,2
Hit,17.98387,60.36354,190,2
Hit,18.7439,61.12355,200,1
Hit,19.5559,61.93556,200,1
Hit,20.36587,62.74554,200,1
Hit,21.1794,63.55899,200,1
Hit,21.99175,64.37134,200,1
Hit,22.80376,65.18334,200,1
Hit,23.61585,65.99547,200,1
Hit,24.42779,66.80733,200,1
Hit,25.23982,67.61944,200,1
Hit,26.05133,68.43101,200,1
Hit,26.86209,69.24169,200,1
Hit,27.67396,70.05335,200,1
Hit,28.48737,70.86679,200,1
Hit,29.29949,71.67902,200,1
Hit,30.73554,73.11523,200,1
Hit,32.97174,75.35139,200,1
Hit,35.20703,77.58676,200,1
Start,9.367869,93.40394,210,21
Hit,10.24034,94.27622,210,21
Hit,11.13703,95.17293,210,21
Hit,12.03214,96.06789,210,21
Hit,12.92858,96.96423,210,21
Hit,13.82437,97.85989,210,21
Hit,14.71963,98.75513,210,21
Hit,15.61675,99.65235,220,20
Hit,16.51267,100.5481,230,19
Hit,17.47691,101.5124,230,19
Hit,18.44067,102.4762,230,19
Hit,19.27328,103.3088,240,18
Hit,19.92274,103.9582,240,18
Hit,20.571,104.6065,240,18
Hit,21.27093,105.3063,250,17
Hit,21.97079,106.0061,260,16
Hit,22.61901,106.6544,270,15
Hit,23.2651,107.3005,270,15
Hit,23.96702,108.0024,270,15
Hit,24.66684,108.7023,280,14
Hit,25.367,109.4025,280,14
Hit,26.01324,110.0488,290,13
Hit,26.76227,110.7979,300,12
Hit,27.4629,111.4985,300,12
Hit,28.1623,112.1978,310,11
Hit,28.91088,112.9464,310,11
Hit,30.08094,114.1165,320,10
Hit,31.58092,115.6165,330,9
Hit,33.1849,117.2206,330,9
