Type,Time,AllTime,Score,Block
Start,3.313563,3.312978,0,21
Hit,4.47601,4.47601,10,20
Hit,5.672307,5.672307,20,19
Hit,6.964298,6.964298,30,18
Hit,8.144458,8.144458,50,16
Hit,9.135595,9.135595,60,15
Hit,10.22449,10.22449,70,14
Hit,11.38831,11.38831,80,13
Hit,12.39608,12.39608,90,12
Hit,13.41389,13.41389,100,11
Hit,13.43183,13.43183,100,11
Hit,13.43438,13.43438,100,11
Miss,13.46555,13.46381,100,11
Start,0.8394688,14.40984,100,11
Hit,2.190105,15.76048,110,10
Hit,3.481901,17.05228,120,9
Hit,4.774018,18.3444,130,8
Hit,5.969986,19.54033,140,7
Hit,7.353948,20.92427,150,6
Hit,8.655952,22.2263,160,5
Hit,10.94804,24.51836,170,4
Miss,10.95438,24.52471,170,4
Start,7.430877,32.08125,170,4
Hit,8.877963,33.5284,170,4
Hit,10.35778,35.0083,180,3
Hit,11.83766,36.48819,180,3
Miss,13.38143,38.03201,190,2
Start,0.3656066,38.50599,190,2
Hit,1.811874,39.95232,190,2
Hit,3.291204,41.43164,190,2
Hit,4.675763,42.81631,200,1
Clear,5.492422,43.63341,210,0
Start,3.391793,60.23307,210,21
Hit,4.555502,61.39677,210,21
Hit,5.751069,62.59239,210,21
Hit,6.947131,63.78843,220,20
Hit,8.143394,64.9846,230,19
Hit,9.434722,66.27587,240,18
Hit,10.72681,67.56813,260,16
Hit,12.01873,68.86012,270,15
Hit,13.32063,70.16207,280,14
Hit,14.6069,71.44834,290,13
Hit,15.7288,72.57029,300,12
Hit,16.95353,73.795,310,11
Hit,18.17748,75.01896,320,10
Hit,19.40152,76.24291,330,9
Miss,20.68102,77.52249,350,7
