Type,Time,AllTime,Score,Block
Start,0.425793,0.4165342,0,21
Hit,3.327739,3.327739,10,20
Hit,5.522774,5.522774,20,19
Hit,7.715836,7.715836,30,18
Hit,9.904914,9.904914,40,17
Hit,12.09905,12.09905,50,16
Hit,14.99004,14.99004,60,15
Hit,17.60011,17.60011,70,14
Hit,19.92016,19.92016,80,13
Hit,24.2785,24.2785,100,11
Hit,26.98348,26.98348,100,11
Miss,27.07711,27.07268,100,11
Start,0.9083074,28.21877,100,11
Hit,4.362196,31.67267,110,10
Hit,4.368221,31.6787,110,10
Hit,4.374179,31.68465,110,10
Hit,4.380182,31.69066,110,10
Hit,4.387293,31.69777,110,10
Hit,4.393202,31.70368,110,10
Hit,4.399176,31.70965,110,10
Hit,4.405182,31.71566,110,10
Hit,4.4204,31.73087,110,10
Hit,4.424955,31.73543,110,10
Hit,4.42925,31.73972,110,10
Miss,4.435319,31.74579,110,10
Start,0.8704225,32.87405,110,10
Type,Time,AllTime,Score,Block
Start,1.370814,1.36229,0,21
