a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.875,0,0,0,0,0.875
try1,0.8888889,0,0,0,0,0.9090909
try2,0.875,0,0,0,0,0.9166667
try3,0.875,0,0,0,0,0.9206349
try4,0.8823529,0,0,0,0,0.9240506
try5,0.9333333,0,0,0,0,0.9354839
try6,0.7037037,0,0,0,0,0.8907563
try7,1.066667,0,0,0,0,0.9172933
try8,1,0,0,0,0,0.9305556
try9,0.8888889,0,0,0,0,0.9342105
try10,1,0,0,0,0,0.9454545
try11,0.8666667,0,0,0,0,0.9441341
try12,0.875,0,0,0,0,0.943299
try13,1.166667,0,0,0,0,0.9609756
try14,0.75,1.2,0,0,0,0.9554656
try15,0.7368421,0,0,0,0,0.9433962
try16,0.8823529,0,0,0,0,0.9430605
try17,1,0,0,0,0,0.9491525
try18,0.7241379,1.363636,0,0,0,0.9461078
try19,0.8571429,0,0,0,0,0.9435028
try20,1.7,0,0,0,0,0.9669421
try21,1,0,0,0,0,0.9704301
try22,0.9444444,0,0,0,0,0.9717224
