a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1875,0,0,0,0,0.1875
try1,0.1666667,0,0,0,0,0.1818182
try2,0.1875,0,0,0,0,0.1875
try3,0.1875,0,0,0,0,0.1904762
try4,0.1764706,0,0,0,0,0.1898734
try5,0.2,0,0,0,0,0.1935484
try6,0.1111111,0,0,0,0,0.1764706
try7,0.2,0,0,0,0,0.1804511
try8,0.25,0,0,0,0,0.1875
try9,0.3333333,0,0,0,0,0.1973684
try10,0.2142857,0,0,0,0,0.2
try11,0.2,0,0,0,0,0.2011173
try12,0.1875,0,0,0,0,0.2010309
try13,0.25,0,0,0,0,0.204878
try14,0.03571429,0.1333333,0,0,0,0.1821862
try15,0.1578947,0,0,0,0,0.1811321
try16,0.1764706,0,0,0,0,0.1814947
try17,0.2,0,0,0,0,0.1830508
try18,0.06896552,0.09090909,0,0,0,0.1706587
try19,0.1428571,0,0,0,0,0.1694915
try20,0.3,0,0,0,0,0.1735537
try21,0.3,0,0,0,0,0.1774193
try22,0.1666667,0,0,0,0,0.1773779
