a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.2142857,0,0,0,0,0.2142857
try1,0.1875,0,0,0,0,0.2
try2,0.2142857,0,0,0,0,0.2045455
try3,0.2142857,0,0,0,0,0.2068966
try4,0.2,0,0,0,0,0.2054794
try5,0.2142857,0,0,0,0,0.2068965
try6,0.1578947,0,0,0,0,0.1981132
try7,0.1875,0,0,0,0,0.1967213
try8,0.25,0,0,0,0,0.2014925
try9,0.375,0,0,0,0,0.2112676
try10,0.2142857,0,0,0,0,0.2115385
try11,0.2307692,0,0,0,0,0.2130178
try12,0.2142857,0,0,0,0,0.2131147
try13,0.2142857,0,0,0,0,0.213198
try14,0.04761905,0.1111111,0,0,0,0.190678
try15,0.2142857,0,0,0,0,0.192
try16,0.2,0,0,0,0,0.1924528
try17,0.2,0,0,0,0,0.1928571
try18,0.0952381,0.06666667,0,0,0,0.1803797
try19,0.1666667,0,0,0,0,0.1796407
try20,0.1764706,0,0,0,0,0.1794872
try21,0.3,0,0,0,0,0.1828255
try22,0.1764706,0,0,0,0,0.1825397
