Time,Score
0,0
21.34646,140
24.56782,0
44.30326,160
46.41848,0
64.04901,140
65.46788,0
83.65941,140
85.07407,0
104.1239,150
105.3047,0
122.8906,140
124.5579,0
155.8547,190
158.2234,0
185.4459,160
187.2295,0
204.5499,120
205.8019,0
219.8531,80
221.1337,0
237.1049,140
238.3716,0
255.7204,130
256.9479,0
275.4765,140
277.2605,0
288.5285,140
289.9778,0
313.4218,210
315.5009,210
331.8444,340
333.7579,0
351.6974,140
353.1228,0
371.2613,150
374.0025,0
391.0783,150
392.4348,0
428.8363,210
430.8007,210
444.9489,320
446.6825,0
468.8843,180
469.988,0
483.0936,170
485.0609,0
496.9374,100
498.0512,0
518.5366,170
520.5555,170
