Time,Stage
0,1
21.34646,0
24.56782,1
44.30326,0
46.41848,1
64.04901,0
65.46788,1
83.65941,0
85.07407,1
104.1239,0
105.3047,1
122.8906,0
124.5579,1
155.8547,0
158.2234,1
185.4459,0
187.2295,1
204.5499,0
205.8019,1
219.8531,0
221.1337,1
237.1049,0
238.3716,1
255.7204,0
256.9479,1
275.4765,0
277.2605,1
288.5285,0
289.9778,1
313.4218,1
315.5009,2
331.8444,0
333.7579,1
351.6974,0
353.1228,1
371.2613,0
374.0025,1
391.0783,0
392.4348,1
428.8363,1
430.8007,2
444.9489,0
446.6825,1
468.8843,0
469.988,1
483.0936,0
485.0609,1
496.9374,0
498.0512,1
518.5366,0
520.5555,0
