Type,Time,AllTime,Score,Block
Start,6.678537,6.676205,0,21
Hit,7.841174,7.841174,10,20
Hit,9.036911,9.036911,20,19
Hit,10.32756,10.32756,30,18
Hit,11.50846,11.50846,50,16
Miss,12.55779,12.55562,60,15
Start,4.081969,16.73281,60,15
Hit,5.430743,18.08157,70,14
Hit,6.723945,19.37473,80,13
Hit,7.919283,20.57008,90,12
Hit,9.303524,21.9543,110,10
Hit,10.78461,23.43533,110,10
Hit,12.26454,24.91528,120,9
Hit,13.55596,26.20668,130,8
Hit,14.94017,27.59093,140,7
Hit,16.42032,29.07109,150,6
Miss,17.96352,30.61429,150,6
Start,1.210617,31.93409,150,6
Hit,2.657863,33.38131,150,6
Miss,4.104275,34.8278,160,5
Start,0.931904,35.86881,160,5
Hit,2.378442,37.31531,160,5
Miss,3.920947,38.85786,170,4
Start,1.614565,50.48203,0,21
Hit,2.77546,51.64286,10,20
Hit,3.973177,52.8406,20,19
Hit,5.265017,54.13251,30,18
Hit,6.444742,55.31232,50,16
Miss,7.489735,56.35732,60,15
Start,0.7283542,57.17905,60,15
Hit,2.079415,58.53017,70,14
Hit,3.370939,59.82168,80,13
Hit,4.567849,61.01862,90,12
Hit,5.951213,62.40195,110,10
Hit,7.432062,63.88288,110,10
Hit,8.917737,65.3687,120,9
Hit,9.954064,66.40495,130,8
Hit,10.98578,67.43668,140,7
Hit,11.94996,68.40079,150,6
Hit,13.05402,69.50484,150,6
Hit,13.94591,70.39672,160,5
Hit,15.05012,71.50101,160,5
Hit,16.15381,72.60471,160,5
Hit,17.18434,73.63538,170,4
Hit,18.289,74.73991,170,4
Miss,19.43845,75.88953,180,3
Start,0.6222786,76.59435,180,3
Hit,2.068135,78.04015,190,2
Hit,3.548849,79.52088,190,2
Miss,4.997193,80.96925,200,1
Start,0.6302068,81.70646,200,1
Hit,2.076343,83.15265,200,1
Miss,3.619932,84.69616,200,1
