Type,Time,AllTime,Score,Block
Start,2.68322,2.681282,0,21
Miss,3.908243,3.907978,10,20
Start,1.177997,5.194355,10,20
Hit,2.439551,6.455898,20,19
Hit,3.293533,7.309878,30,18
Hit,4.143908,8.160254,40,17
Hit,5.065221,9.081569,50,16
Hit,6.661581,10.67794,60,15
Hit,8.248983,12.26534,70,14
Hit,9.877672,13.89403,80,13
Hit,9.879754,13.89611,80,13
Hit,9.881298,13.89766,80,13
Miss,9.933213,13.94957,80,13
Start,0.8196238,14.94759,80,13
Hit,2.170118,16.2981,90,12
Miss,3.140306,17.26828,100,11
Start,0.5030425,17.85843,100,11
Miss,2.01291,19.36827,110,10
Start,1.527697,23.94787,0,21
Hit,2.689559,25.10977,10,20
Hit,3.88555,26.30571,20,19
Hit,5.176485,27.59668,30,18
Miss,6.409118,28.82926,50,16
Start,0.6857115,29.60414,50,16
Hit,2.035549,30.95399,60,15
Miss,3.390441,32.30894,70,14
Start,1.178043,33.59607,70,14
Hit,2.624009,35.04208,80,13
Hit,4.008298,36.42632,90,12
Hit,5.487429,37.90553,100,11
Hit,6.880292,39.29844,110,10
Hit,6.902389,39.32055,110,10
Hit,6.90332,39.32148,110,10
Hit,6.908374,39.32653,110,10
Miss,6.938845,39.357,110,10
Start,0.9248262,40.39743,110,10
Miss,2.43421,41.90683,110,10
Start,1.000973,45.2831,0,21
Hit,2.174392,46.45652,10,20
Hit,4.036181,48.31831,20,19
Hit,5.482733,49.76489,30,18
Hit,6.420478,50.70261,40,17
Hit,6.420738,50.70287,40,17
Miss,6.444757,50.72689,40,17
Start,0.91856,51.72248,40,17
Hit,2.176355,52.98019,50,16
Hit,3.116102,53.91996,60,15
Hit,11.12447,61.9286,70,14
Hit,16.93793,67.74194,100,11
Miss,19.09621,69.90014,120,9
Start,0.8821222,70.9467,120,9
Miss,2.296253,72.36076,130,8
Start,0.4689471,72.93785,130,8
Hit,1.915523,74.3844,140,7
Miss,3.269808,75.73862,150,6
Start,0.7840645,78.09384,0,21
Hit,1.9499,79.25971,10,20
Hit,2.659992,79.96983,10,20
Miss,2.715391,80.02521,10,20
Start,0.7993376,81.04501,10,20
Hit,2.061938,82.30762,20,19
Miss,2.19369,82.43936,20,19
Start,0.5174748,83.20509,20,19
Hit,1.884731,84.57231,30,18
Hit,14.48231,97.16979,40,17
Miss,14.5031,97.19059,40,17
Start,1.604031,98.9103,40,17
Hit,3.050934,100.3573,50,16
Hit,4.245743,101.552,60,15
Miss,5.754919,103.061,70,14
Start,0.8179848,105.6035,0,21
Hit,1.980216,106.7657,10,20
Hit,3.175613,107.9611,20,19
Miss,4.675178,109.4607,30,18
Start,0.4117627,110.0035,30,18
Hit,1.671937,111.2637,40,17
Hit,2.160939,111.7527,40,17
Miss,2.17624,111.768,40,17
